Course Code,Course Name,SQI
332:448,Capstone Design Ece,4.07
440:302,Cad For Packaging Engineering,3.99
440:470,Packaging Lab I,2.69
540:434,Quality Engr Lab,4.24
540:487,Energy Systems Model,4.2
635:316,Eom Prop Of Matls,3.84
635:402,Senior Mse Lab,3.86
125:424,Biomed Instrumnt Lab,4.08
332:443,Machine Learning For Engineers,3.93
332:466,Opto-Electronics Devices,2.05
635:252,Lab I,4.35
650:447,Probabilistic Models,2.65
125:498,Topics In Biomedical Engineering,4.26
332:446,Topics In Electrical & Computer Engineering: Distributed Deep Learning,4.41
440:107,Method Of Inquiry For Engineers,3.53
125:315,Bme Measur & Analys,3.95
125:402,Senior Design II Lec,3.48
125:431,Intro Opticl Imaging,3.47
125:434,Tissue Eng II,4.02
125:455,Bme Global Health,4.15
125:470,Advanced Biomedical Devices Lab,4.2
125:494,Bme Ha Adv Res II,3.64
155:208,Chemical Engineering Thermodynamics I,3.83
155:210,Biological Foundations in Chemical Engineering,4.07
155:304,Transport Phenomena In Chemical Engineering II,3.93
155:324,Separation Processes,3.99
155:341,Chemical Engineering Kinetics,3.94
155:416,Process Engineering II (Lab),3.77
155:428,Chemical Engineering Design,3.91
180:320,Elemts Struct Design,4.43
180:364,Transportation Eng I,3.68
180:372,Soil Mechanics,3.56
180:382,Hydraulic&envir Engg,3.96
180:407,Construction Proj,3.1
180:426,Structural Design,3.78
180:431,Dsgn Env Eng Facilit,3.77
180:448,Elements Hydrology,3.92
180:474,Geotechnical Eng Des,4.34
180:482,Prof Issues Civil En,3.68
332:226,Probability & Random Processes,2.71
332:252,Programming Methodology I,2.99
332:301,Wireless Revolution: Wireless Revolution,4.46
332:322,Principles Of Communication Systems,3.52
332:346,Digital Signal Processing,2.34
332:376,Virtual Reality,4.29
332:378,Virtual Reality Lab,4.0
332:382,Electromagnetic Fields,4.09
332:393,Professionalism/ethics,4.27
332:411,Electrical Energy Conversion,4.15
332:423,Computer & Communication Networks,3.81
332:434,Introduction To Computer Systems,3.26
332:456,Network Centric Programming,4.01
332:464,Rf Integrated Circuit Design,3.54
332:467,Microelectronic Processing: Microelectronics Processing,4.28
440:406,Packaging Printing And Decoration,4.44
440:418,Packaging Development Process,3.77
440:420,Packaging Senior Design II,4.04
440:468,Packaging Machinery,4.1
440:471,Distribution Pkg,3.34
440:473,Packaging Lab II,3.43
440:477,Packaging Manufacturing II,4.2
540:210,Eng Probability,3.26
540:303,Manufacturing Procss,2.67
540:311,Deter Models Op Res,3.91
540:384,Simulation Modls I E,4.11
540:399,Design Engr System I,3.3
540:461,Engineering Law: Engineering Law,4.28
540:462,Fac Layout & Mh,4.07
540:485,Industrial Informatics: Industrial Data Analytics,4.49
540:492,Special Problems: Intro To Reliability,3.82
635:204,Materials Processing,2.58
635:206,Thermo Of Materials,4.25
635:212,Physics Of Materials,4.39
635:314,Strength Of Mat,4.48
635:320,Int To Nanomaterials,4.19
635:401,Senior Mse Lab,3.96
635:411,Mse Eng'g Design I,3.95
635:416,Phys&chem Prop Glass,3.11
635:440,Electrochemical Devices,3.85
650:432,Mech Engg Lab II,3.59
650:433,Aerospace Engr Lab,3.59
650:435,Energy Systems Lab,3.69
650:449,Aerospace Materials,3.41
650:458,Aerospace Structures,3.39
650:459,Aerospace Propulsion,3.71
650:460,Aerodynamics,4.15
650:461,Int Comb Engines,3.47
650:463,Comprs Fluid Dynamcs,4.2
650:468,Design & Mfg 2,3.99
650:471,Aircraft Flight Dyn,2.87
650:478,Me Aspects Elec Pkgg,4.33
650:485,Computing Environmen,4.22
650:488,Aerospace Engineering Design 2,3.77
125:490,Bme Ha Research II,2.52
180:438,Transportatn Engg II,3.97
332:348,Digital Signal Processing Lab,2.46
635:361,Mse Of Polymers,2.92
180:374,Soil Mechanics Lab,3.94
635:354,Lab III,3.89
640:001,Computational Skills,4.14
640:025,Elementary Algebra,4.02
640:026,Intermediate Algebra,3.97
640:103,Topics Math Lib Arts,4.34
640:104,Intro To Probability: Intro. To Probability,4.15
640:106,Mathematics Of Money,4.25
640:107,Number&oper For K-8,4.42
640:109,Geo&meas Midle Tchng,4.2
640:111,Precalc Part 1,3.97
640:112,Precalc Part 2,4.14
640:115,Precalc College Math,3.99
640:123,Prep For Calc I,4.31
640:135,Calc I Life&soc Sci,3.97
640:136,Calc II Life&soc Sci,3.88
640:151,Calc I Math/phys,3.94
640:152,Calc II Math/phys,4.01
640:244,Diff Eqs/engr&phys,4.08
640:250,Intro Linear Algebra,3.97
640:251,Multivariable Calc,3.89
640:252,Elem Diff Equations,3.94
640:285,Intro Interest Theor,3.85
640:300,Intro Math Reasoning,4.12
640:311,Intro Real Anal I,4.08
640:321,Intro Applied Math,3.96
640:325,Found Quant Mechancs,3.65
640:336,Dynam Models Bio,3.72
640:350,Linear Algebra,4.03
640:351,Intro Abstr Algeb I,4.12
640:354,Linear Optimization,4.06
640:356,Theory Of Numbers,3.89
640:361,Set Theory,3.75
640:373,Numerical Analysis I,3.9
640:411,Math Analysis I,3.99
640:421,Adv Calc For Engrng,3.84
640:423,Elem Prtl Diff Eqtns,3.72
640:428,Graph Theory,4.01
640:435,Geometry,3.82
640:441,Intro Topology I,4.22
640:451,Abstract Algebra I,3.46
640:454,Combinatorial Theory,3.85
640:477,Math Theory Prob,4.02
640:478,Intro Stochastic Pro,3.92
640:481,Math Theory Stat,3.91
640:485,Intro Math Finance,3.97
640:486,Math Lfe Cont Risk I,4.13
640:291,Honors Calculus III,3.85
640:437,History Of Mathematics,3.93
640:491,Undergraduate Mathematics Seminar,4.16
640:125,Methods Of Mathematical Problem         Solving,4.23
640:157,Calc I Mat/phy Prac,4.26
640:158,Calc II Mat/phy Prac,4.17
640:130,Business Calculus,4.04
640:110,Algebra For Middle School Teachers,4.31
640:292,Honors Calculus IV,3.97
640:312,Introduction To Real Analysis II,3.64
640:338,Disc&prob Models Bio,3.59
640:348,Cryptography,3.85
640:357,Topics Applied Algeb,3.65
640:403,Intro Complex Var,3.42
640:412,Math Analysis II,4.01
640:432,Intro Diff Geometry,4.45
640:452,Abstract Algebra II,4.05
640:487,Mathematics Of Life Contingent Risk Models II,4.2
640:492,Math Seminar,3.57
640:196,Sem In Mathematic II,4.11
640:442,Intro Topology II,3.38
640:461,Math Logic,3.62
640:488,Mathematics Of Short-Term Risk Models,4.08
640:495,Sel Topics In Math: Math Adventures In One-Dimensional Phys,3.81
750:109,Astronomy&cosmology,3.93
750:115,Extended Analytic I,3.96
750:123,Analytical Physics I,4.21
750:161,Elements Of Physics,3.26
750:193,Physics For Sciences,4.46
750:202,Extended Gen Physics,4.42
750:203,General Physics,4.03
750:204,General Physics,4.08
750:205,General Physics Lab,4.0
750:206,General Physics Lab,4.11
750:227,Analyt Physics II,3.78
750:229,Anal Phys II Lab,4.08
750:271,Honors Physics I,3.72
750:273,Honors Physics III,3.6
750:275,Classical Phys Lab I,3.89
750:305,Modern Optics,3.67
750:323,Adv General Phy I,4.1
750:326,Computer-Based Exper,3.85
750:341,Principles Astrophys,4.3
750:381,Mechanics,3.76
750:385,Electromagnetism,4.1
750:387,Exp Modern Physics,4.0
750:444,Intro To Cosmology,4.14
750:451,Physical Oceanograph,4.17
750:464,Mathematical Physics,3.49
750:110,Astronomy & Cosmology,4.15
750:313,Modern Physics,3.47
750:345,Computational Astrophysics,4.34
750:361,Quantum & Atomic Phy,4.05
750:368,Junior Seminar,4.16
750:418,Nuclei And Particles,4.55
750:442,High Energy Astrophysics And Radiative  Processes,3.89
750:228,Analytical Physics Iib,3.75
750:230,Analytical Physics II Laboratory,4.05
750:155,Introduction To Research And Research Communities In Physics & Astronomy,4.13
750:106,Concepts Of Physics,3.33
750:116,Extended Analytic I,4.25
750:124,Analytical Physics I,4.23
750:140,Greenhouse Effect,4.41
750:194,Physics For The Sciences,4.46
750:201,Extended Gen Physics,4.34
750:272,Honors Physics II,3.94
750:276,Classical Physics Lab II,2.83
750:301,Physics Of Sound,2.04
750:324,Advanced General Physics II,3.38
750:327,Mod Instrumentation,4.46
750:342,Principles Astrophys,4.23
750:346,Observational Astronomy,4.26
750:351,Thermal Physics,3.94
750:382,Mechanics,4.0
750:386,Electromagnetism,4.38
750:388,Exp Modern Physics,3.68
750:397,Phys Of Mod Devices,3.94
750:417,Intermed Quantum,3.84
750:421,Introduction To Quantum Computing,4.29
750:441,Stars & Star Formation,4.47
750:406,Intro Sol State Phys,2.61
750:443,Galaxies & Milky Way,4.06
750:488,Special Topics In Physics,3.87
