Course Code,Course Name,SQI
14:332:333,Computer Architecture Lab,3.59
14:332:351,Progrm Methodologyii,3.85
14:332:363,Electronic Devices Lab,3.21
14:332:448,Capstone Design Ece,4.07
14:440:302,Cad For Packaging Engineering,3.99
14:440:470,Packaging Lab I,2.69
14:540:434,Quality Engr Lab,4.24
14:540:487,Energy Systems Model,4.2
14:635:316,Eom Prop Of Matls,3.84
14:635:402,Senior Mse Lab,3.86
14:125:424,Biomed Instrumnt Lab,4.08
14:332:443,Machine Learning For Engineers,3.93
14:332:466,Opto-Electronics Devices,2.05
14:635:252,Lab I,4.35
14:650:447,Probabilistic Models,2.65
14:125:498,Topics In Biomedical Engineering,4.26
14:332:446,Topics In Electrical & Computer Engineering: Distributed Deep Learning,4.41
14:440:107,Method Of Inquiry For Engineers,3.53
14:125:315,Bme Measur & Analys,3.95
14:125:402,Senior Design II Lec,3.48
14:125:431,Intro Opticl Imaging,3.47
14:125:434,Tissue Eng II,4.02
14:125:455,Bme Global Health,4.15
14:125:470,Advanced Biomedical Devices Lab,4.2
14:125:494,Bme Ha Adv Res II,3.64
14:155:208,Chemical Engineering Thermodynamics I,3.83
14:155:210,Biological Foundations in Chemical Engineering,4.07
14:155:304,Transport Phenomena In Chemical Engineering II,3.93
14:155:324,Separation Processes,3.99
14:155:341,Chemical Engineering Kinetics,3.94
14:155:416,Process Engineering II (Lab),3.77
14:155:428,Chemical Engineering Design,3.91
14:180:320,Elemts Struct Design,4.43
14:180:364,Transportation Eng I,3.68
14:180:372,Soil Mechanics,3.56
14:180:382,Hydraulic&envir Engg,3.96
14:180:407,Construction Proj,3.1
14:180:426,Structural Design,3.78
14:180:431,Dsgn Env Eng Facilit,3.77
14:180:448,Elements Hydrology,3.92
14:180:474,Geotechnical Eng Des,4.34
14:180:482,Prof Issues Civil En,3.68
14:332:226,Probability & Random Processes,2.71
14:332:252,Programming Methodology I,2.99
14:332:301,Wireless Revolution: Wireless Revolution,4.46
14:332:322,Principles Of Communication Systems,3.52
14:332:346,Digital Signal Processing,2.34
14:332:376,Virtual Reality,4.29
14:332:378,Virtual Reality Lab,4.0
14:332:382,Electromagnetic Fields,4.09
14:332:393,Professionalism/ethics,4.27
14:332:411,Electrical Energy Conversion,4.15
14:332:423,Computer & Communication Networks,3.81
14:332:434,Introduction To Computer Systems,3.26
14:332:456,Network Centric Programming,4.01
14:332:464,Rf Integrated Circuit Design,3.54
14:332:467,Microelectronic Processing: Microelectronics Processing,4.28
14:440:406,Packaging Printing And Decoration,4.44
14:440:418,Packaging Development Process,3.77
14:440:420,Packaging Senior Design II,4.04
14:440:468,Packaging Machinery,4.1
14:440:471,Distribution Pkg,3.34
14:440:473,Packaging Lab II,3.43
14:440:477,Packaging Manufacturing II,4.2
14:540:210,Eng Probability,3.26
14:540:303,Manufacturing Procss,2.67
14:540:311,Deter Models Op Res,3.91
14:540:384,Simulation Modls I E,4.11
14:540:399,Design Engr System I,3.3
14:540:461,Engineering Law: Engineering Law,4.28
